region_name,item_description,total_value,regional_total,percentage
Andaman and Nico.Is.,FIRST SPECIAL GRADE CASTOR OIL (FSG),199092.660000000,199092.660000000,100.000000000
Andhra Pradesh (New),DEGUMMED SOYABEAN OIL,115955290.460000000,244543627.640000000,47.417015761
Andhra Pradesh (New),DEGUMMED SOYABEAN OIL OF EDIBLE GRADE,60113689.500000000,244543627.640000000,24.581989758
Andhra Pradesh (New),CASTOR DE OIL CAKE HIGH PROTEINS,51882000.000000000,244543627.640000000,21.215846228
Andhra Pradesh (New),GLYCERINE,10800000.000000000,244543627.640000000,4.416389870
Andhra Pradesh (New),"12, HYDROXY STEARIC ACID (12-HSA)",3214924.800000000,244543627.640000000,1.314663085
Andhra Pradesh (New),EASY OPEN METAL CAP FOR 15 KGS.TIN,1560600.000000000,244543627.640000000,0.638168336
Andhra Pradesh (New),HCO FATTY ACID 12-HYDROXYSTEARICACID<90%,750122.880000000,244543627.640000000,0.306743990
Andhra Pradesh (New),WASHED COTTONSEED OIL,267000.000000000,244543627.640000000,0.109182972
Arunachal Pradesh,"12, HYDROXY STEARIC ACID (12-HSA)",2631223.220000000,5400767.580000000,48.719430730
Arunachal Pradesh,RICINOLEIC ACID,1368612.800000000,5400767.580000000,25.341079388
Arunachal Pradesh,CASTOR OIL FATTY ACID(RICILONIC ACID<90%,1231218.240000000,5400767.580000000,22.797097297
Arunachal Pradesh,HYDROGENATED CASTOR OIL (HCO),169713.320000000,5400767.580000000,3.142392586
Bihar,TIRUPATI REFINED GROUNDNUT OIL 15 LTR NT,311247848.570000000,370901908.250000000,83.916486178
Bihar,DEGUMMED SOYABEAN OIL  EDIBLE GRADE,46545100.000000000,370901908.250000000,12.549167034
Bihar,TIRUPATI REFINED COTTON OIL 13 KG NT,10218000.120000000,370901908.250000000,2.754906322
Bihar,CASTOR DE OIL CAKE HIGH PROTEINS,1504000.000000000,370901908.250000000,0.405498049
Bihar,TIRUPATI SOYALITE REF SOYA OIL 15 LTR NT,946343.420000000,370901908.250000000,0.255146549
Bihar,FIRST SPECIAL GRADE CASTOR OIL (FSG),353816.100000000,370901908.250000000,0.095393443
Bihar,TIRUPATI REFINED COTTON OIL 15 KG NT,86800.040000000,370901908.250000000,0.023402425
Chhattisgarh,TIRUPATI REFINED GROUNDNUT OIL 15 LTR NT,1232893665.380000000,2738630049.330000000,45.018627678
Chhattisgarh,TIRUPATI PREMIUM FILTER GN OIL 15 KG NT,919531743.490000000,2738630049.330000000,33.576340248
Chhattisgarh,TIRUPATI PREMIUM FILTER GN OIL 13 KG NT,408533065.480000000,2738630049.330000000,14.917424337
Chhattisgarh,TIRUPATI PREMIUM FILTER GNOIL 870GRM BOT,68525756.120000000,2738630049.330000000,2.502191055
Chhattisgarh,TIRUPATI PREMIUM FILTER GN OIL 4.35 KG J,57744689.080000000,2738630049.330000000,2.108524629
Chhattisgarh,TIRUPATI PREMIUMFILTERED GN OIL 870 GM P,35314252.300000000,2738630049.330000000,1.289486045
Chhattisgarh,GOOD LIFE FILTER GROUNDNUT OIL 1LTRPOUCH,4735962.480000000,2738630049.330000000,0.172931809
Chhattisgarh,TIRUPATI PREMIUM FILTER GNOIL 1LTRBOTTLE,2155350.000000000,2738630049.330000000,0.078701758
Chhattisgarh,TIRUPATI PREMIUM FILTER GN OIL1.750 KG J,2109800.000000000,2738630049.330000000,0.077038518
Chhattisgarh,TIRUPATI PREMIUM FILTER GN OIL 5 LTR JAR,2021780.000000000,2738630049.330000000,0.073824502
Chhattisgarh,TIRUPATI PREMIUM FILTER GNOIL 435GRM BOT,1574120.000000000,2738630049.330000000,0.057478373
Chhattisgarh,GOOD LIFE REF SUNFLOWER OIL 1 LTR POUCH,1371923.040000000,2738630049.330000000,0.050095231
Chhattisgarh,TIRUPATI PREMIUM FILTER GN OIL 15 LTR NT,1123490.800000000,2738630049.330000000,0.041023825
Chhattisgarh,GOOD LIFE FILTER GROUNDNUT OIL  5LTR JAR,531388.800000000,2738630049.330000000,0.019403453
Chhattisgarh,TIRUPATI PREMIUM FILTER GN OIL 1LTRPOUCH,458640.000000000,2738630049.330000000,0.016747059
Chhattisgarh,15 LTR TIN - BOX - REF GROUNDNUT,3960.640000000,2738630049.330000000,0.000144621
Chhattisgarh,1 LTR POUCH BOX - GOOD LITE SUNFLOWER,219.760000000,2738630049.330000000,0.000008024
Chhattisgarh,1 LTR POUCH BOX - PREMIUM FILTER GN,176.040000000,2738630049.330000000,0.000006428
Chhattisgarh,5 LTR JAR BOX - GOOD LIFE FILTER GN,65.920000000,2738630049.330000000,0.000002407
DadraNagHavDamanDiu,TIRUPATI REF.C.S OIL POUCH 16 X 750 ML,1848356263.080000000,4877072976.050000000,37.898884683
DadraNagHavDamanDiu,TIRUPATI REFINED COTTON OIL 4.35 KG JAR,1628050284.030000000,4877072976.050000000,33.381708497
DadraNagHavDamanDiu,TIRUPATI REFINED COTTON OIL 15 KG NT,528122814.520000000,4877072976.050000000,10.828683867
DadraNagHavDamanDiu,TIRUPATI REFINED COTTON OIL 1.75 KG JAR,447557821.570000000,4877072976.050000000,9.176771063
DadraNagHavDamanDiu,TIRUPATI REFINED COTTON OIL 435 GRM POU,171357828.080000000,4877072976.050000000,3.513538324
DadraNagHavDamanDiu,TIRUPATI REFINED COTTON OIL 870 GM POUCH,125706915.270000000,4877072976.050000000,2.577507367
DadraNagHavDamanDiu,TIRUPATI REFINED COTTON OIL 13 KG NT,104237505.850000000,4877072976.050000000,2.137296415
DadraNagHavDamanDiu,TIRUPATI REFINED COTTON OIL 175 GRM POU,5584425.600000000,4877072976.050000000,0.114503630
DadraNagHavDamanDiu,SUNPRIDE REF SUNFLOWER OIL 13 KG NT,4197281.600000000,4877072976.050000000,0.086061489
DadraNagHavDamanDiu,TIRUPATI REF COTTON OIL 750 ML POUCH,2310000.640000000,4877072976.050000000,0.047364488
DadraNagHavDamanDiu,TIRUPATI PREMIUM FILTER GN OIL 15 KG NT,2194796.180000000,4877072976.050000000,0.045002324
DadraNagHavDamanDiu,TIRUPATI SOYALITE REF SOYA OIL 4.35 KG J,1898724.860000000,4877072976.050000000,0.038931648
DadraNagHavDamanDiu,TIRUPATI KACHIGHANI MUSTARDOIL870GRM BOT,1500312.220000000,4877072976.050000000,0.030762554
DadraNagHavDamanDiu,TIRUPATI KACHI GHANI MUSTARD OIL 4.35 KG,1238025.220000000,4877072976.050000000,0.025384595
DadraNagHavDamanDiu,SUNPRIDE REF SUNFLOWER OIL POU 16X750 ML,831600.120000000,4877072976.050000000,0.017051213
DadraNagHavDamanDiu,SUNPRIDE REF SUNFLOWER OIL 4.35 KG JAR,822750.020000000,4877072976.050000000,0.016869750
DadraNagHavDamanDiu,TIRUPATI REF SOYABEAN OIL 750 ML POUCH,676199.950000000,4877072976.050000000,0.013864873
DadraNagHavDamanDiu,TIRUPATI SOYALITE REF SOYA OIL 13 KG NT,543999.720000000,4877072976.050000000,0.011154226
DadraNagHavDamanDiu,TIRUPATI REFINED RICE BRAN OIL 5 LTR JAR,446550.320000000,4877072976.050000000,0.009156113
DadraNagHavDamanDiu,TIRUPATI REF SOYABEAN OIL POU 16X750 ML,375799.740000000,4877072976.050000000,0.007705436
