customer_id,customer_name
108332,AADHAAR WHOLESALE LTD NADIAD
152843,AADROIT INDULGENCE PRIVATE LIMITED
113698,AAI KHODAL ENTERPRISE
103848,AAKASH GLOBAL FOODS PVT. LTD.
107836,AAKASH PLASTOPACK PVT LTD
105297,AASHAPURA TRADING COMPANY
111890,AATIF ENTERPRISE
111726,ABDUL SATTAR AND CO
153195,AB PETROCHEM PRIVATE LIMITED
115104,ACHARYA NITINKUMAR GOVINDBHAI HUF
113938,ACHARYA TRADING CO
500117,Acme-Hardesty Co.
108978,ACME INDUSTRIES
111833,A C TRADERS
104892,ADARSH PROVI STORE -RAIYAROAD
152833,ADB EDIBLE PRIVATE LIMITED
153247,ADINATH ENTERPRISE
103849,ADINATH OILS
152814,ADINATH SUGAR
105299,ADINATH TRADERS
114115,ADINATH TRADING COMPANY
103850,ADITYA PROTEINS
153248,ADM AGRO INDUSTRIES INDIA PVT LTD
114284,ADVANCE TRADERS
113076,ADVATECH CERA TILES LTD
114975,AERISH ENTERPRISE
105303,AGARWAL OIL MILL
114831,AGGARWAL SOAP AND GEN. INDUSTRIES
114967,AGRAWAL VASANTKUMAR MANGILAL
152730,A G TRADERS
104893,"AI SHRI KHODIYAR PROVI & JANRAL,MET"
110235,AI SHRI KHODIYAR PROVISION STORE (V
100045,AJANTA SOYA LTD  BHIWADI
109272,AJAY KIRANA STORE
111083,AJUDIA BROTHERS
114437,AKASH CHEMTECH PRIVATE LIMITED
112546,AKASH TRADING CO
115028,AKAZA INTERNATIONAL PVT LTD
109254,AKBANI ENTERPRISE
500432,Akhdar General Trading LLC
111822,A K PROVISON STORE
104894,AKSAR PROVI - MAUDI PLOT
114819,AKSHAR CORPORATION
100279,AKSHAR FIBERS INDUSTRIES
100281,AKSHAR FIBERS INDUSTRIES
100282,AKSHAR GINNING & PRESSING INDUSTRIE
103855,AKSHAR PROTEIN
108577,AKSHAT PROTEINS
100278,AKSHAY EXIM
113166,ALANKAR TEA DEPOT
500005,"ALBERDINGK BOLEY GmbH, Dusseldoref"
111614,ALFA AGROVET  HAPUR
110836,ALOK AGRO PRODUCTS
100067,AMALSAD SEVA SAHKARI
110791,AMAN FOOD PRODUCTS
112408,AMARDEEP GENERAL STORE
110683,AMBA STORE (CHUNARAVAD)
153225,AMBICA COTSEEDS LIMITED
109153,AMBICA INDUSTRIES
100084,AMBICA OIL TRADERS
113061,AMBIKA MART
113987,AMBIKA OIL DEPOT
104896,AMBIKA PROVI STORE - RAIYA ROAD AIR
106574,AMIR ENTERPRISE SARKHEJ
108862,AMI TRADERS
113433,AMIT TEA CENTER
152815,AMOLAKCHAND ANKUR KOTHARI ENT PVT L
100108,AMROLI VIBHAG VIVIDH
100110,AMRUT PASHU AAHAR
112082,AMRUT TRADERS
115100,AMRUT TRADERS
112855,AMRUT TRADING CO
104903,ANANTRAI.P.JOSHI- SARDHAR
107863,ANGADESHWAR TRADING CO
103393,ANIL TRADERS -- RADAR ROAD
100125,ANIL TRADERS  ZALOD
152726,ANJALI ENTERPRISE
114029,ANJANA TRADING CO.
112681,ANJANI AGRO INDUSTRIES
114146,ANJANI TRADERS
104904,ANKUR JANRAL & PAN - AMRUTBHAI.SAPA
100135,ANKUR NI CHAH
114804,ANMOL FERTICHEM INDUSTRIES
152752,ANMOL TRADING CO
115101,ANMOL TRADING COMPANY
104906,ANNAPURNA JANRAL STORE- 8 KRUSHANGA
100137,ANNAPURNA TRADING CO
100138,ANSH ENTERPRISE KALUPUR
152952,ANUSHREE TRADING CO.
114580,ANVEELIFECARE NATURAL HERBS PVT LTD
152885,ARAIYA REALTY LLP
152984,ARIHANT GRUH UDHYOG
111925,ARIHANT OIL CORPORATION
114166,ARIHANT SUPER STORES
100148,ARIHANT TRADERS DABHAN
100153,ARIHANT TRADING
110209,ARMAN PROVI STORE(MANADUNGAR)
114932,ARORA FLOUR & OIL MILLS
100157,ARPIT TRADERS
110898,ARPIT TRADERS
100158,ARTI ENTERPRISE GURUKUL
100161,ARVINDKUMAR HARILAL & CO.
100162,ARVINDLAL AND BROTHERS
152768,ARYA BANDHU
152793,ASHA ENTERPRISES
106587,ASHALAL MATHURDAS AND CO
111810,ASHAPURA GENERAL STORE
104912,"ASHAPURA PROVI - MUNJAKA,"
100174,ASHAPURA TRADING CO
153182,ASHAPURA TRADING CO.
111260,ASHAPURI JUTE INDUSTRIES
111803,ASHISH POLYMERS
100193,ASHOKKUMAR GORDHANDAS THAKKAR
100032,ASHOK TRADING
100190,ASHOK TRADING CO JIVRAJ PARK
114744,ASHWINKUMAR VADILAL SHAH
112611,ASSANDAS CHOITHRAM MANDSAUR
500436,ATLANTIC GREASE & LUBRICANTS MANU.
114102,ATUL TRADING CO
152957,AVAKAR KIRNA STORS
115069,AVD FORMULATIONS
152851,AVENUE ECOMMERCE LIMITED
152869,AVENUE ECOMMERCE LIMITED NARODA
152870,AVENUE ECOMMERCE LIMITED SANAND
100044,AVENUE SUPERMARTS LIMITED AKOT
500440,Avere Commodities
153231,AVI AGRI BUSINESS LIMITED
500366,AVIKS GROUP
152841,AWL AGRI BUSINESS LIMITED
152987,AWL AGRI BUSINESS LIMITED
153042,AWL AGRI BUSINESS LIMITED
116166,AYEKART RETAIL PRIVATE LIMITED
114878,AZAD AGENCIES
109753,BAHUCHARAJI KIRANA BHANDAR
110600,BAHUCHAR ENTERPRISE
153155,BAHUCHAR TRADERS
100248,BAJARANG TRADERS/
104918,BAJRANG JANRAL PROVI - SAPAR VERAVA
104919,BAJRANG PROVI & JANRAL -RAMESWAR CH
110733,BAJRANG PROVISION STORE (MADHAPAR)
111068,BAJRANG PROVISION STORE (RAM.PARA)
113471,BALAJI CORPORATION
115036,BALAJI ENTERPRISE
111200,BALAJI PROVISION STORE (NANAMAVAGAM
106604,BALAJI PROVI STORE . PADADHARI
153053,BALAJI TRADING CO
110812,BALAJI WAFERS PRIVATE LIMITED
152846,BALAJI WAFERS PRIVATE LIMITED
100258,BALDEV SOAP FACTORY
114841,BALLE DI HATTI
104930,BALMUKUND KIRANA BHANDAR - MAUDI PL
104933,BALVI PROVI STORE - KOTHARIYA ROAD
110690,BANAS PROVISION STORE
108831,BANKURA AGRO PROCESSING PVT. LTD.
112991,BANSAL SUPER MARKET
113605,BANSAL SUPER MARKET
100267,BANSAL SUPER MARKET KARELI
111249,BANSAL SUPER MARKET TARSALI
104935,BANSIDHAR PROVI STORE.GADHI GRAM
500438,"Baoding Wansitu Technology Co.,Ltd."
100274,BARAI ANAJ KIRANA BHANDAR
152785,BATRA TRADERS PRATAPGARH
152813,B.B.MARKETING
500195,Berg + Schmidt GmbH & Co. KG
500369,BERKELEY TRADING LLC TTT
152733,BHAGAT AROMATICS LIMITED
104941,"BHAGAVATI SALES - SARDHAR,SURESHBHA"
104943,BHAGVATI ENTERPRISE  - JAKSAN MAIN
100291,BHAGWATI TRADING CO-A-BAD
100292,BHAGYA TRADERS
104944,BHAGYODAY GENARAL -MAUDI
113620,BHAGYODAY TRADERS
100298,BHAILAL OGHADBHAI
113074,BHANU AGRO
114143,BHANU ENTERPRISES
115088,BHANU OIL INDUSTRIES PVT LTD
153250,BHARATBHAI RAVJIBHAI BHANUSALI
114765,BHARAT ENTERPRISE
111295,BHARAT ENTERPRISE  GODHRA
100304,BHARAT FOODS CO OPERATIVE LTD.
113448,BHARATKUMAR GOVINDJI RAJVIR
100314,BHARATKUMAR S MEHTA
