region,product,total_qty,total_revenue,qty_percentage,revenue_percentage
Andaman and Nico.Is.,FIRST SPECIAL GRADE CASTOR OIL (FSG),0,199092.660000000,,100.000000000
Andhra Pradesh (New),DEGUMMED SOYABEAN OIL,0,115955290.460000000,,47.420000000
Andhra Pradesh (New),DEGUMMED SOYABEAN OIL OF EDIBLE GRADE,0,60113689.500000000,,24.580000000
Andhra Pradesh (New),CASTOR DE OIL CAKE HIGH PROTEINS,0,51882000.000000000,,21.220000000
Andhra Pradesh (New),GLYCERINE,0,10800000.000000000,,4.420000000
Andhra Pradesh (New),"12, HYDROXY STEARIC ACID (12-HSA)",0,3214924.800000000,,1.310000000
Andhra Pradesh (New),EASY OPEN METAL CAP FOR 15 KGS.TIN,0,1560600.000000000,,0.640000000
Andhra Pradesh (New),HCO FATTY ACID 12-HYDROXYSTEARICACID<90%,0,750122.880000000,,0.310000000
Andhra Pradesh (New),WASHED COTTONSEED OIL,0,267000.000000000,,0.110000000
Arunachal Pradesh,"12, HYDROXY STEARIC ACID (12-HSA)",0,2631223.220000000,,48.720000000
Arunachal Pradesh,RICINOLEIC ACID,0,1368612.800000000,,25.340000000
Arunachal Pradesh,CASTOR OIL FATTY ACID(RICILONIC ACID<90%,0,1231218.240000000,,22.800000000
Arunachal Pradesh,HYDROGENATED CASTOR OIL (HCO),0,169713.320000000,,3.140000000
Bihar,TIRUPATI REFINED GROUNDNUT OIL 15 LTR NT,0,311247848.570000000,,83.920000000
Bihar,DEGUMMED SOYABEAN OIL  EDIBLE GRADE,0,46545100.000000000,,12.550000000
Bihar,TIRUPATI REFINED COTTON OIL 13 KG NT,0,10218000.120000000,,2.750000000
Bihar,CASTOR DE OIL CAKE HIGH PROTEINS,0,1504000.000000000,,0.410000000
Bihar,TIRUPATI SOYALITE REF SOYA OIL 15 LTR NT,0,946343.420000000,,0.260000000
Bihar,FIRST SPECIAL GRADE CASTOR OIL (FSG),0,353816.100000000,,0.100000000
Bihar,TIRUPATI REFINED COTTON OIL 15 KG NT,0,86800.040000000,,0.020000000
Chhattisgarh,TIRUPATI REFINED GROUNDNUT OIL 15 LTR NT,0,1232893665.380000000,,45.020000000
Chhattisgarh,TIRUPATI PREMIUM FILTER GN OIL 15 KG NT,0,919531743.490000000,,33.580000000
Chhattisgarh,TIRUPATI PREMIUM FILTER GN OIL 13 KG NT,0,408533065.480000000,,14.920000000
Chhattisgarh,TIRUPATI PREMIUM FILTER GNOIL 870GRM BOT,0,68525756.120000000,,2.500000000
Chhattisgarh,TIRUPATI PREMIUM FILTER GN OIL 4.35 KG J,0,57744689.080000000,,2.110000000
Chhattisgarh,TIRUPATI PREMIUMFILTERED GN OIL 870 GM P,0,35314252.300000000,,1.290000000
Chhattisgarh,GOOD LIFE FILTER GROUNDNUT OIL 1LTRPOUCH,0,4735962.480000000,,0.170000000
Chhattisgarh,TIRUPATI PREMIUM FILTER GNOIL 1LTRBOTTLE,0,2155350.000000000,,0.080000000
Chhattisgarh,TIRUPATI PREMIUM FILTER GN OIL1.750 KG J,0,2109800.000000000,,0.080000000
Chhattisgarh,TIRUPATI PREMIUM FILTER GN OIL 5 LTR JAR,0,2021780.000000000,,0.070000000
Chhattisgarh,TIRUPATI PREMIUM FILTER GNOIL 435GRM BOT,0,1574120.000000000,,0.060000000
Chhattisgarh,GOOD LIFE REF SUNFLOWER OIL 1 LTR POUCH,0,1371923.040000000,,0.050000000
Chhattisgarh,TIRUPATI PREMIUM FILTER GN OIL 15 LTR NT,0,1123490.800000000,,0.040000000
Chhattisgarh,GOOD LIFE FILTER GROUNDNUT OIL  5LTR JAR,0,531388.800000000,,0.020000000
Chhattisgarh,TIRUPATI PREMIUM FILTER GN OIL 1LTRPOUCH,0,458640.000000000,,0.020000000
Chhattisgarh,15 LTR TIN - BOX - REF GROUNDNUT,0,3960.640000000,,0E-9
Chhattisgarh,1 LTR POUCH BOX - GOOD LITE SUNFLOWER,0,219.760000000,,0E-9
Chhattisgarh,1 LTR POUCH BOX - PREMIUM FILTER GN,0,176.040000000,,0E-9
Chhattisgarh,5 LTR JAR BOX - GOOD LIFE FILTER GN,0,65.920000000,,0E-9
DadraNagHavDamanDiu,TIRUPATI REF.C.S OIL POUCH 16 X 750 ML,0,1848356263.080000000,,37.900000000
DadraNagHavDamanDiu,TIRUPATI REFINED COTTON OIL 4.35 KG JAR,0,1628050284.030000000,,33.380000000
DadraNagHavDamanDiu,TIRUPATI REFINED COTTON OIL 15 KG NT,0,528122814.520000000,,10.830000000
DadraNagHavDamanDiu,TIRUPATI REFINED COTTON OIL 1.75 KG JAR,0,447557821.570000000,,9.180000000
DadraNagHavDamanDiu,TIRUPATI REFINED COTTON OIL 435 GRM POU,0,171357828.080000000,,3.510000000
DadraNagHavDamanDiu,TIRUPATI REFINED COTTON OIL 870 GM POUCH,0,125706915.270000000,,2.580000000
DadraNagHavDamanDiu,TIRUPATI REFINED COTTON OIL 13 KG NT,0,104237505.850000000,,2.140000000
DadraNagHavDamanDiu,TIRUPATI REFINED COTTON OIL 175 GRM POU,0,5584425.600000000,,0.110000000
DadraNagHavDamanDiu,SUNPRIDE REF SUNFLOWER OIL 13 KG NT,0,4197281.600000000,,0.090000000
DadraNagHavDamanDiu,TIRUPATI REF COTTON OIL 750 ML POUCH,0,2310000.640000000,,0.050000000
DadraNagHavDamanDiu,TIRUPATI PREMIUM FILTER GN OIL 15 KG NT,0,2194796.180000000,,0.050000000
DadraNagHavDamanDiu,TIRUPATI SOYALITE REF SOYA OIL 4.35 KG J,0,1898724.860000000,,0.040000000
DadraNagHavDamanDiu,TIRUPATI KACHIGHANI MUSTARDOIL870GRM BOT,0,1500312.220000000,,0.030000000
DadraNagHavDamanDiu,TIRUPATI KACHI GHANI MUSTARD OIL 4.35 KG,0,1238025.220000000,,0.030000000
DadraNagHavDamanDiu,SUNPRIDE REF SUNFLOWER OIL POU 16X750 ML,0,831600.120000000,,0.020000000
DadraNagHavDamanDiu,SUNPRIDE REF SUNFLOWER OIL 4.35 KG JAR,0,822750.020000000,,0.020000000
DadraNagHavDamanDiu,TIRUPATI REF SOYABEAN OIL 750 ML POUCH,0,676199.950000000,,0.010000000
DadraNagHavDamanDiu,TIRUPATI SOYALITE REF SOYA OIL 13 KG NT,0,543999.720000000,,0.010000000
DadraNagHavDamanDiu,TIRUPATI REFINED RICE BRAN OIL 5 LTR JAR,0,446550.320000000,,0.010000000
DadraNagHavDamanDiu,TIRUPATI REF SOYABEAN OIL POU 16X750 ML,0,375799.740000000,,0.010000000
DadraNagHavDamanDiu,SUNPRIDE REF SUNFLOWER OIL 750 ML POUCH,0,311400.080000000,,0.010000000
DadraNagHavDamanDiu,TIRUPATI REFINED RICE BRAN OIL 1LTRPOUCH,0,256500.180000000,,0.010000000
DadraNagHavDamanDiu,SUNPRIDE REF SUNFLOWER OIL 870 GRM BOT,0,190470.050000000,,0E-9
DadraNagHavDamanDiu,TIRUPATI MUSTARD OIL 870 GRM BOTTLE,0,121227.050000000,,0E-9
DadraNagHavDamanDiu,TIRUPATI REFINED COTTON OIL 870 GRM BOT,0,93060.050000000,,0E-9
DadraNagHavDamanDiu,TIRUPATI PREMIUM FILTER GNOIL 870GRM BOT,0,90420.050000000,,0E-9
Goa,RICINOLEIC ACID,0,32840320.400000000,,50.340000000
Goa,CASTOR OIL FATTY ACID(RICILONIC ACID<90%,0,32400000.000000000,,49.660000000
Gujarat,TIRUPATI REFINED COTTON OIL 15 KG NT,215645,1088740444736.620000000,21.430000000,37.580000000
Gujarat,TIRUPATI REFINED COTTON OIL 4.35 KG JAR,36,429546321722.620000000,0E-9,14.830000000
Gujarat,TIRUPATI REF.C.S OIL POUCH 16 X 750 ML,0,176509089850.810000000,0E-9,6.090000000
Gujarat,TIRUPATI REFINED COTTON OIL 13 KG NT,12030,176174253104.390000000,1.200000000,6.080000000
Gujarat,TIRUPATI REFINED COTTON OIL 870 GM POUCH,48,174952904412.640000000,0E-9,6.040000000
Gujarat,SUNPRIDE REF SUNFLOWER OIL 13 KG NT,0,124844989708.220000000,0E-9,4.310000000
Gujarat,TIRUPATI REFINED COTTON OIL 5 LTR JAR,104254,58678550232.680000000,10.360000000,2.030000000
Gujarat,TIRUPATI REFINED COTTON OIL 435 GRM POU,0,53265077979.950000000,0E-9,1.840000000
Gujarat,TIRUPATI REFINED COTTON OIL 1.75 KG JAR,0,52092660982.160000000,0E-9,1.800000000
Gujarat,TIRUPATI REFINED COTTON OIL 1 LTR POUCH,72162,43439635850.370000000,7.170000000,1.500000000
Gujarat,RBD PALM OLEIN OIL,805,35460413472.700000000,0.080000000,1.220000000
Gujarat,TIRUPATI PREMIUM FILTER GN OIL 15 KG NT,2879,35337546132.810000000,0.290000000,1.220000000
Gujarat,SUNPRIDE REF SUNFLOWER OIL 4.35 KG JAR,0,24331907055.240000000,0E-9,0.840000000
Gujarat,SUNPRIDE REF SUNFLOWER OIL 15 LTR NT,14770,23282781959.710000000,1.470000000,0.800000000
Gujarat,WASHED COTTONSEED OIL,0,23070085189.230000000,0E-9,0.800000000
Gujarat,REFINED SOYABEAN OIL,0,21834813878.530000000,0E-9,0.750000000
Gujarat,TIRUPATI ACTIVE REF CORN OIL 13 KG NT,0,19560359953.380000000,0E-9,0.680000000
Gujarat,SUNPRIDE REF SUNFLOWER OIL 13 KG CHAKLI,0,19000551668.780000000,0E-9,0.660000000
Gujarat,DEGUMMED SOYABEAN OIL,0,18587920805.980000000,0E-9,0.640000000
Gujarat,TIRUPATI ACTIVE REF CORN OIL 15 LTR NT,0,18459440764.280000000,0E-9,0.640000000
Gujarat,FIRST SPECIAL GRADE CASTOR OIL (FSG),0,15974776486.620000000,0E-9,0.550000000
Gujarat,CRUDE DEGUMMED SOYABEAN OIL EDIBLE GRADE,0,15927938656.340000000,0E-9,0.550000000
Gujarat,TIRUPATI REFINED COTTON OIL 15 LTR NT,30403,15902394522.470000000,3.020000000,0.550000000
Gujarat,TIRUPATI REFINED COTTON OIL 870 GRM BOT,50,15743106007.960000000,0E-9,0.540000000
Gujarat,TIRUPATI SOYALITE REF SOYA OIL 15 KG NT,0,15495164360.050000000,0E-9,0.530000000
Gujarat,TIRUPATI REF COTTON OIL 750 ML POUCH,0,9920545412.050000000,0E-9,0.340000000
Gujarat,TIRUPATI PREMIUM FILTER GN OIL 4.35 KG J,10,9795852358.410000000,0E-9,0.340000000
Gujarat,SUNPRIDE REF SUNFLOWER OIL 15 KG TIN,0,9042780361.260000000,0E-9,0.310000000
Gujarat,SUNPRIDE REF SUNFLOWER OIL  5 LTR JAR,9423,8542236271.650000000,0.940000000,0.290000000
Gujarat,MARUTI PALMOLIEN OIL 15 KG NEW TIN,0,8270371954.070000000,0E-9,0.290000000
Gujarat,TIRUPATI REFINED COTTON OIL 435 GRM BOT,0,8180013906.440000000,0E-9,0.280000000
